,13_PMUR-invitro.counts,14_PMUR-invitro.counts,15_PMUR-invitro.counts,16_PMUR-invitro.counts,17_PMUR-eSPF.counts,18_PMUR-eSPF.counts,19_PMUR-eSPF.counts,20_PMUR-eSPF.counts,21_PMUR-Conv.counts,22_PMUR-Conv.counts,23_PMUR-Conv.counts,24_PMUR-Conv.counts
PMUR_00331,-1.22094628730945,-0.929825711955749,-1.04996366061211,-1.14920143302961,1.16541866012027,0.714677163636896,-0.206559542344868,1.66405495683174,0.274058141027753,0.273468783278624,-0.568526075935072,1.03334500629157
PMUR_00332,-1.08044101851231,-0.71057941345692,-0.864819075116122,-1.07225972867145,1.32852440942554,0.855275334696024,-0.380657041605719,1.86395611885491,-0.268298668876373,0.0945221938100644,-0.659105994596619,0.893882884049004
PMUR_00333,-1.1155484002344,-0.377877412357692,-0.840789290143405,-0.861415116919209,1.43784355591818,1.13610902409461,-0.602981996507354,1.82193432036329,-0.387981896636201,-0.213979003834038,-0.678208170477191,0.682894386733417
PMUR_00334,-1.21351145172934,-0.621808345348183,-0.471727863421656,-0.614944095318904,1.51142324548495,0.895611066378256,-0.75759032786561,1.77222281746931,-0.630826826376121,-0.0456910885929197,-0.724953580682773,0.90179645000299
PMUR_00335,-1.09564160392919,-0.686465427078018,-1.63143819396471,-1.40896398350804,0.85310976028022,1.04587587303519,-0.0240919686475146,1.36881415379813,0.106114856748366,0.245719081417094,0.329479679826651,0.897487772021807
PMUR_02415,-1.36774291066797,-1.04551978253404,-1.25194492976516,-1.29647628125036,1.07436771172369,1.1387844847309,0.724312610885461,1.09780873416191,0.711771877235583,-0.12749134671789,0.28429552622415,0.0578343059737163
PMUR_02416,-1.1927250754799,-1.27399036487874,-1.36148297900883,-1.27151537314119,0.856607627154988,0.763497999613748,-0.0833788872191397,0.8549798967173,1.23327935656014,0.490744517596555,0.1891715535866,0.794811728498464
PMUR_02417,-1.06070917662037,-1.32215882091517,-1.2469839280266,-1.20506664766243,1.15459600915706,1.10895204691188,0.171606356395008,1.248383184907,0.961910587301475,0.20283485728603,-0.0410216171086958,0.0276571483748141
PMUR_02418,-1.40069834738153,-1.16537245510735,-1.38569099975656,-1.10260567494354,0.907182740805387,0.841266457534231,0.13725555057183,1.20512698706555,1.13673657652358,0.363972164011076,0.303670830528717,0.159156170148625
PMUR_02419,-1.27789098349273,-1.18213374997649,-1.30977687195383,-1.31929679195879,0.789134085368121,0.756712337549625,-0.0569613009400848,1.14350063621997,1.14582606556498,0.711487957456018,0.234359221211288,0.365039394951942
PMUR_02420,-1.1634391925886,-1.15574050317631,-1.29171689302876,-1.03655465077667,1.08395705197275,0.884473144535354,0.100953803024989,1.55265546199858,1.04773820963543,-0.212085653446278,-0.0250553907902438,0.214814612639738
