# bin	superkingdom	phylum	class	order	family	genus	species
MAG643	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG644	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG645	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG646	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG647	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG648	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG649	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG650	Bacteria	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG651	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG652	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG653	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Z-noStdName
MAG654	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Z-noStdName
MAG655	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Z-noStdName	Prevotellaceae bacterium
MAG656	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Z-noStdName	Z-noStdName
MAG657	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Z-noStdName
MAG658	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Z-noStdName
MAG659	Bacteria	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG660	Bacteria	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG661	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Z-noStdName	Z-noStdName	Z-noStdName
MAG662	Bacteria	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG663	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Z-noStdName	Z-noStdName
MAG664	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Z-noStdName	Z-noStdName
MAG665	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Z-noStdName	Z-noStdName	Z-noStdName
MAG666	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG667	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Z-noStdName	Z-noStdName	Methanomassiliicoccales archaeon Mx-06
